question,answers
Who had an 80s No 1 hit with Hold On To The Nights?,"{'answer_start': array([139]), 'text': array(['richard marx'], dtype=object)}"
In what year was the first in-flight movie shown on an internal flight in the USA.,"{'answer_start': array([965]), 'text': array(['1929'], dtype=object)}"
The Black Hills lie between which two rivers?,"{'answer_start': array([248]), 'text': array(['belle fourche and cheyenne'], dtype=object)}"
"What type of animal was Boris, the subject of a song by The Who?","{'answer_start': array([486]), 'text': array(['spiders'], dtype=object)}"
Who dubbed Miss Piggy's singing voice in The Muppet Movie?,"{'answer_start': array([1590]), 'text': array(['johnny mathis'], dtype=object)}"
Who was the first person to sell one million records?,"{'answer_start': array([313]), 'text': array(['enrico caruso'], dtype=object)}"
Who made Victor Krum's wand?,"{'answer_start': array([278]), 'text': array(['gregorovitch'], dtype=object)}"
The Wang River is in which Asian country?,"{'answer_start': array([66]), 'text': array(['thailand'], dtype=object)}"
Which former RAF pilot wrote the novel ‘Airport’?,"{'answer_start': array([78]), 'text': array(['arthur hailey'], dtype=object)}"
What type of creature is a Dog Face?,"{'answer_start': array([496]), 'text': array(['butterfly'], dtype=object)}"
What is the basic monetary unit of Israel?,"{'answer_start': array([515]), 'text': array(['shekel'], dtype=object)}"
Lupine relates to which animal?,"{'answer_start': array([693]), 'text': array(['wolf'], dtype=object)}"
What is a female skunk called?,"{'answer_start': array([699]), 'text': array(['sow'], dtype=object)}"
What is the Japanese share index called?,"{'answer_start': array([109]), 'text': array(['nikkei'], dtype=object)}"
What is the Japanese share index called?,"{'answer_start': array([1378]), 'text': array(['nikkei'], dtype=object)}"
Who had a 70s No 1 hit with Kiss You All Over?,"{'answer_start': array([334]), 'text': array(['exile'], dtype=object)}"
Who had a 70s No 1 hit with Kiss You All Over?,"{'answer_start': array([880]), 'text': array(['exile'], dtype=object)}"
Who had a 70s No 1 hit with Kiss You All Over?,"{'answer_start': array([526]), 'text': array(['exile'], dtype=object)}"
Kagoshima international airport is in which country?,"{'answer_start': array([85]), 'text': array(['japan'], dtype=object)}"
Kagoshima international airport is in which country?,"{'answer_start': array([607]), 'text': array(['japan'], dtype=object)}"
Kagoshima international airport is in which country?,"{'answer_start': array([701]), 'text': array(['japan'], dtype=object)}"
What was Eddie Murphy's first movie?,"{'answer_start': array([1183]), 'text': array(['48 hours'], dtype=object)}"
Which musician founded the Red Hot Peppers?,"{'answer_start': array([76]), 'text': array(['jelly roll morton'], dtype=object)}"
